distance,model_mean,sampers_mean,model_variance,sampers_variance,model_sum,sampers_sum
"(-0.001, 2.115]",7.760135279164207e-06,6.7215798674307655e-06,1.0883348419202631e-08,4.121721351619956e-08,0.6817589248156631,0.5905176776732638
"(2.115, 3.2]",7.213833395580617e-07,6.656115236807035e-07,1.5808873961270203e-10,2.2535342083563217e-11,0.06337496914685399,0.05847530357839677
"(3.2, 4.113]",4.581847248862355e-07,3.829604509592006e-07,7.404958569679812e-11,6.001372395612702e-12,0.040253360820154814,0.033644607458569474
"(4.113, 4.957]",3.4917644477566176e-07,2.680072926039489e-07,5.860366421717322e-11,4.551676350683163e-12,0.030675849026431137,0.023544976669841733
"(4.957, 5.788]",1.7102291916040195e-07,2.453505975187246e-07,1.46216186973056e-11,2.8395774292748353e-11,0.01502504753991788,0.021555031394410312
"(5.788, 6.614]",1.9002099816553983e-07,1.952193988554655e-07,3.425696394051546e-11,2.608914326763172e-12,0.016693724730838886,0.017150414628250274
"(6.614, 7.456]",9.251540606131809e-08,1.6504723110844923e-07,8.121763169840483e-12,1.2808148332662512e-12,0.008127848484111059,0.014500059441801667
"(7.456, 8.337]",1.5246791043978022e-07,1.877377010199533e-07,2.1270395760598296e-11,1.1954151795063566e-11,0.013394610867955483,0.01649313251000473
"(8.337, 9.272]",1.463706103596312e-07,1.7789661138965288e-07,2.5374449357737538e-11,1.5393811549662713e-11,0.012859243602534993,0.015628928897026544
"(9.272, 10.288]",8.349527407940122e-08,1.647153044824254e-07,8.066032754933494e-12,1.5708119316534878e-11,0.0073352268184235835,0.014470568929390065
"(10.288, 11.406]",1.1942322305092398e-07,1.511189479661454e-07,1.6054067843770884e-11,4.088421879655556e-12,0.010491807837915819,0.013276404054618003
"(11.406, 12.65]",7.910286866574558e-08,1.812498796815837e-07,7.851178871092393e-12,2.8953674101445138e-11,0.0069493452180231004,0.015923164429786498
"(12.65, 14.062]",8.309767011495636e-08,2.1010828717938506e-07,8.953479757302914e-12,7.156629610346696e-11,0.007300462710279396,0.018458853461857584
"(14.062, 15.693]",1.1265926317727803e-07,1.8800051270648942e-07,1.398960380918613e-11,1.4758376882139722e-11,0.00989734158865021,0.01651622104229041
"(15.693, 17.608]",1.0090431371101849e-07,1.602221298904762e-07,9.244315631113557e-12,4.748842667226583e-12,0.008864847576767837,0.014076154999397872
"(17.608, 19.895]",1.273797569960162e-07,2.00134469775826e-07,1.1463359609359677e-11,2.2016773496098535e-11,0.011190566411613987,0.017582213438745612
"(19.895, 22.678]",1.2492349740615197e-07,1.557433636361827e-07,1.5359262464752587e-11,2.5332031342721586e-12,0.010975028941120027,0.013682677468892877
"(22.678, 25.793]",6.810206952163494e-08,1.693243016680729e-07,5.811298300011375e-12,6.690346984133282e-12,0.005982903011614686,0.014875478550143529
"(25.793, 29.162]",8.547188926109799e-08,1.323286567549105e-07,9.700878800570819e-12,2.4466296592983686e-12,0.007509047359144521,0.011625601810545935
"(29.162, 32.281]",5.1759155685240324e-08,1.1093819967588276e-07,6.242605005860469e-12,1.088442447936114e-11,0.004547145345259738,0.00974614271792567
"(32.281, 35.044]",4.372619803684292e-08,7.150670324226007e-08,2.0045082766826216e-12,1.1441076429985972e-12,0.00384143394993273,0.006282006893239071
"(35.044, 37.614]",2.4414886886156328e-08,5.737400241059564e-08,1.322084180702578e-12,4.924587772842747e-13,0.002144945472496374,0.005040535607780432
"(37.614, 40.002]",2.0537463150336254e-08,5.0799819901030785e-08,5.997846991744394e-13,9.691771415561456e-13,0.0018042572126833363,0.004462865777945377
"(40.002, 42.213]",1.978515955118019e-08,4.3073562436444e-08,7.011862235407151e-13,4.617269045333298e-13,0.0017382054072093798,0.0037841847542913754
"(42.213, 44.525]",1.8796329472851094e-08,4.381574953977119e-08,7.011027791189639e-13,3.192925794244463e-13,0.0016512951368489112,0.0038493012285679734
"(44.525, 46.962]",1.9706018912975452e-08,3.9888002433467424e-08,5.91413076568987e-13,2.013185977896614e-13,0.0017312525855805421,0.0035043205657898507
"(46.962, 49.411]",1.8123618733822737e-08,3.5043128321028166e-08,1.0264744762845533e-12,4.630757587556401e-13,0.001592196153003792,0.0030786089092589555
"(49.411, 51.915]",6.88523552381069e-09,3.0074159945787694e-08,1.0752783734071294e-13,1.7981104150395626e-13,0.0006048954817088642,0.0026421352478772277
"(51.915, 54.193]",6.370966410797937e-09,2.393080273549408e-08,1.80035114473532e-13,1.1309028294310288e-13,0.0005597021411214202,0.0021023688819186512
"(54.193, 56.242]",4.669297654078512e-09,2.0646956043226452e-08,7.728930652110614e-14,1.5038390835424519e-13,0.00041021647610141364,0.0018139176762216108
"(56.242, 58.166]",4.946402492855539e-09,1.753279678804282e-08,5.5415188111748396e-14,6.519351216592803e-14,0.000434551351802345,0.0015402912634231497
"(58.166, 60.05]",7.637071586755542e-09,1.4989865152683453e-08,3.313339553384284e-13,6.027177090739631e-14,0.0006709472871828207,0.0013169196131238537
"(60.05, 61.85]",3.759265894570209e-09,1.3203322101440988e-08,4.02931109336465e-14,4.70439590025684e-14,0.0003302590273697822,0.0011599382532558025
"(61.85, 63.607]",7.874493501369697e-09,1.1548401534163647e-08,3.8553058743921986e-13,2.8413099282672383e-14,0.0006918057520693332,0.0010145732683824065
"(63.607, 65.353]",4.985973712798384e-09,9.895607011928818e-09,1.7853760272033232e-13,6.686320872240251e-14,0.0004380277626167637,0.0008693488672119721
"(65.353, 67.048]",4.234024143952549e-09,9.418967837017248e-09,2.1361935477138096e-13,1.2425338616118286e-14,0.00037197595714280726,0.0008274940003533123
"(67.048, 68.668]",5.619113231883894e-09,8.30470057393166e-09,1.3010716938164827e-13,1.1390218452787069e-14,0.0004936503356474638,0.0007295845548210457
"(68.668, 70.216]",3.205195847291181e-09,6.146403016743616e-09,3.671938164248945e-14,1.8217625454922762e-15,0.0002815892759679195,0.0005399860906329884
"(70.216, 71.784]",4.590261513369941e-09,6.404734616383663e-09,1.98901364857808e-13,1.6026315142336435e-14,0.00040326365447257613,0.0005626687455185369
"(71.784, 73.38]",2.4137894652439755e-09,5.0686056802077e-09,1.9940989961510744e-14,1.55792879151875e-15,0.00021206105967954433,0.00044529728342896757
