distance,model_mean,sampers_mean,model_variance,sampers_variance,model_sum,sampers_sum
"(-0.001, 3.211]",8.203409138609264e-06,7.370865429347212e-06,1.5081654028086085e-08,1.943457156399613e-08,0.7571418498570807,0.6803013956670303
"(3.211, 5.192]",5.555837286771409e-07,7.699187099029142e-07,3.0586188591979254e-11,2.181540532333051e-11,0.05127704465452804,0.07105887741177956
"(5.192, 6.939]",2.843737743884794e-07,4.4833598227096996e-07,5.916991716173611e-12,1.6811109713676193e-11,0.026245993133410316,0.0413787211477169
"(6.939, 8.647]",1.754196562408785e-07,2.93886407488125e-07,2.9287928825509228e-12,4.2951250827936045e-12,0.01619018175309564,0.027123952092709007
"(8.647, 10.313]",1.4150799961152697e-07,2.5142780056727023e-07,3.7774439357954356e-12,1.1582596055379163e-11,0.013060622332145493,0.023205780281156774
"(10.313, 11.904]",1.2429231924604955e-07,2.1358610898764178e-07,3.0544029625292353e-12,1.173758614631261e-11,0.011471435312494898,0.01971271634290541
"(11.904, 13.467]",9.579029804778287e-08,1.739964271776862e-07,1.465984924734877e-12,6.686930348638243e-12,0.008840869768022072,0.01605882624993737
"(13.467, 15.011]",7.845401711275469e-08,1.7119865109765435e-07,1.107865430914095e-12,6.5413784134823485e-12,0.007240835055404581,0.01580060830440691
"(15.011, 16.559]",8.021702873326604e-08,1.2950109927430747e-07,2.3251989725758503e-12,2.351541257401214e-12,0.007403550449908055,0.011952174456422934
"(16.559, 18.16]",7.392735195652031e-08,1.1101693456284513e-07,4.713162028528767e-12,4.567382612172995e-12,0.006823198876178998,0.010246418992412354
"(18.16, 19.809]",5.800308231482313e-08,9.452914495084786e-08,1.7755622383758993e-12,1.6091048029221236e-12,0.005353336479164286,0.008724472904093552
"(19.809, 21.501]",4.060803432577789e-08,8.380726233678593e-08,3.875409747239538e-13,2.1987455757773446e-12,0.0037478779200633447,0.007734907470111321
"(21.501, 23.229]",3.8316119219113155e-08,7.321333613734111e-08,4.384026264711243e-13,1.8106132646274065e-12,0.0035363479072088293,0.006757151645459761
"(23.229, 24.979]",3.743380222281672e-08,6.877738343306384e-08,6.236478857519981e-13,3.3608753557607054e-12,0.0034549902099570923,0.00634787738133806
"(24.979, 26.776]",2.2801616958613346e-08,5.3661718914482886e-08,1.9710317901456078e-13,2.268201768954608e-12,0.0021044524355782602,0.004952654685493284
"(26.776, 28.569]",2.2272713472459945e-08,4.065177677643253e-08,3.402443921051739e-13,2.697985476260605e-13,0.002055637817227218,0.003751915085804064
"(28.569, 30.431]",2.5328600281346274e-08,5.5981456442106964e-08,1.8072545986373943e-13,3.844206297738422e-12,0.002337677834366573,0.00516675254086782
"(30.431, 32.517]",2.6210106091601943e-08,4.244577725049887e-08,6.49556765964534e-13,5.80363983485233e-13,0.0024190355316183096,0.003917490565557543
"(32.517, 34.741]",2.6268303914598232e-08,3.988252299505033e-08,2.81394891516422e-13,3.1209395146657436e-13,0.0024244593781017586,0.003680997342351165
"(34.741, 37.035]",3.8668721543215425e-08,3.9685666529743426e-08,8.399966165683413e-13,3.5767645787114316e-13,0.0035688909861095242,0.00366274890669614
"(37.035, 39.4]",4.084310254184607e-08,3.712964551168325e-08,1.0211907305026749e-12,1.557450488460959e-13,0.0037695733059971417,0.003426843502855294
"(39.4, 41.811]",2.4799696795192866e-08,3.751822467007241e-08,5.04917603918069e-13,3.3755866508504146e-13,0.0022888632160155305,0.003462707027699663
"(41.811, 44.358]",1.5514502260499802e-08,3.1446796631144695e-08,1.7252013523098495e-13,2.529972893268271e-13,0.0014318954716305687,0.0029023506482748684
"(44.358, 46.832]",1.7277139487453877e-08,2.663468427978939e-08,5.013982977376726e-13,9.920394938322542e-14,0.001594610866134043,0.0024582748202874416
"(46.832, 49.227]",1.557326931451685e-08,2.383738503457283e-08,1.61362165623741e-13,1.1073561199735688e-13,0.001437319318114018,0.002200047614380865
"(49.227, 51.555]",1.2047246073494163e-08,1.8223485667790578e-08,1.5062216154034041e-13,5.50362010700713e-14,0.0011118885291070703,0.0016819183862230636
"(51.555, 53.764]",1.3105053045800973e-08,1.5023046575650857e-08,3.507686288214819e-13,2.1113471151598358e-14,0.001209517765809155,0.0013865370606531203
"(53.764, 55.987]",9.461290671700931e-09,1.3807523071044682e-08,1.4812459497979932e-13,1.9754952059062265e-14,0.0008732392838353091,0.00127437914936514
"(55.987, 58.084]",1.1400808479306677e-08,1.1909704998830526e-08,1.4585611541539251e-13,1.367660150647988e-14,0.0010522262177891303,0.0010991943131620646
"(58.084, 60.03]",1.0989439101187361e-08,1.1493692889081694e-08,9.58220577157136e-14,1.721481046705117e-14,0.0010142592924049863,0.0010607988915049059
"(60.03, 61.847]",1.3633956531954372e-08,9.423369089552412e-09,2.624615859059184e-13,1.7590697324888437e-14,0.0012583323841601967,0.0008697204267511504
"(61.847, 63.57]",1.49855987743464e-08,9.198815872502157e-09,2.927038607101927e-13,2.4066404882742124e-14,0.0013830808532795265,0.0008489955121367141
"(63.57, 65.258]",1.1400561430496774e-08,7.835571055592372e-09,1.0505423428628907e-13,5.203096697811021e-15,0.0010522262177891303,0.0007231918661469536
"(65.258, 66.947]",8.638756940505571e-09,6.7578913014164865e-09,8.056834508782158e-14,6.716634704556194e-15,0.0007973054330670213,0.0006237128197729332
"(66.947, 68.708]",1.1870944911443033e-08,5.810265628647267e-09,4.422798219734139e-13,7.798050675464267e-15,0.0010956169896567233,0.0005362526559303709
"(68.708, 70.5]",6.699444157943098e-09,4.282315639744179e-09,8.346681337546195e-14,2.9110615267439906e-15,0.0006183184991132003,0.00039523203965454926
"(70.5, 72.284]",3.584790295039727e-09,3.6694737034329047e-09,2.708063843385325e-14,3.943187423682089e-15,0.0003308546354903966,0.0003386704059846365
"(72.284, 73.955]",5.994109618096243e-09,2.882272044186371e-09,1.91845565758362e-13,8.044125270248611e-16,0.0005532323413118108,0.00026602218059022526
"(73.955, 75.584]",5.11273369948289e-09,2.6297322419387817e-09,5.7667054521639e-14,4.088341875105819e-16,0.0004718746440600739,0.00024270850753749793
"(75.584, 77.263]",5.935472455721514e-09,2.358746406581304e-09,1.653944279482095e-13,7.98914608131983e-16,0.0005478084948283614,0.00021769814084901488
"(77.263, 78.964]",4.0549267271760855e-09,2.2469679862147922e-09,5.512677677881568e-14,2.322096374601957e-15,0.00037424540735798967,0.00020738166331970805
"(78.964, 80.601]",4.113604639869972e-09,1.8404286072419255e-09,1.0899216687790014e-13,5.594974731126829e-16,0.0003796692538414389,0.00016986419873400076
"(80.601, 82.152]",5.465336023585159e-09,1.90258748527008e-09,1.1376278481562133e-13,9.594733524427494e-16,0.0005044177229607687,0.00017559740936551676
"(82.152, 83.605]",3.878625565124951e-09,1.5687112464305075e-09,4.7796996032286304e-14,2.2101428905407243e-16,0.0003579738679076423,0.00014478263577805725
"(83.605, 84.996]",8.991359264607841e-09,1.4269050650498778e-09,7.945552582451557e-13,1.2853470246816496e-16,0.000829848511967716,0.00013169477607371342
"(84.996, 86.337]",6.288074779823784e-09,1.4364947326186744e-09,6.020363000091268e-14,4.3856843826613257e-16,0.0005803515737290563,0.00013257984485230792
"(86.337, 87.635]",6.111641179235383e-09,1.3575976639170107e-09,4.904861140193647e-14,5.393543173023788e-17,0.0005640800342787089,0.00012530083398888442
"(87.635, 88.948]",6.111773617772651e-09,1.3998391615209938e-09,4.522471028705873e-14,8.910537470054223e-17,0.000564080034278709,0.0001291967555734186
"(88.948, 90.32]",5.524103077602203e-09,1.3253631584007283e-09,3.9494103631305185e-14,4.34481466491703e-17,0.0005098415694442177,0.00012232306734143682
"(90.32, 91.756]",9.872865074863512e-09,1.497045262500791e-09,9.170164214767911e-14,1.8029289618412843e-15,0.000911206209219453,0.000138168295457248
"(91.756, 93.329]",7.639717022215813e-09,1.1452423004167685e-09,1.7397745944230973e-13,6.408027775390234e-17,0.0007051000428483863,0.00010569899287466523
"(93.329, 95.065]",6.640533204361523e-09,1.00434049223694e-09,1.5326985522374692e-13,1.6818614288075193e-16,0.0006128946526297511,9.269661007150061e-05
"(95.065, 96.929]",6.816978265977188e-09,7.8500838179496e-10,4.0794960238645294e-13,3.4916177592847214e-16,0.0006291661920800986,7.245156358938404e-05
"(96.929, 98.827]",3.6435573490567715e-09,6.379563741935782e-10,2.2299009647398113e-14,1.121277133553843e-16,0.0003362784819738457,5.8879545599822107e-05
"(98.827, 100.812]",4.2899949432442645e-09,4.920759693282248e-10,7.871208816461423e-14,2.85150169510743e-17,0.0003959407932917861,4.5415659513179174e-05
"(100.812, 102.885]",2.3506312227828397e-09,4.963821027650004e-10,1.529399570868912e-14,2.977503004831219e-17,0.00021695385933796497,4.581408255679848e-05
"(102.885, 105.005]",3.2909550249545047e-09,4.72315888800412e-10,6.883850699912302e-14,4.6258788216702715e-17,0.00030373540307315105,4.359192264094522e-05
"(105.005, 107.241]",2.233148052647699e-09,4.4173743448179856e-10,1.465737190808629e-14,2.9121443362236264e-17,0.00020610616637106673,4.0769714778063115e-05
"(107.241, 109.566]",3.408489132988593e-09,4.429579906428698e-10,2.230066737734569e-14,1.243307122861303e-17,0.0003145830960400492,4.088236478839303e-05
"(109.566, 111.942]",3.8198585111079065e-09,4.4472351642974166e-10,2.3891428488637596e-14,1.0292459986988151e-16,0.0003525500214241931,4.104531222536658e-05
"(111.942, 114.296]",4.70126244556568e-09,4.2976208791789177e-10,5.3526222216905414e-14,1.0078400693586043e-17,0.00043390771867593,3.966532166646974e-05
"(114.296, 116.81]",3.408489132988593e-09,3.4372674336876973e-10,2.1663173511591546e-14,1.1277630635984683e-17,0.0003145830960400492,3.1723916052477235e-05
"(116.81, 119.416]",2.5269833227329222e-09,3.3127631547257117e-10,1.8162189460090793e-14,6.41712206962572e-18,0.00023322539878831234,3.0574816260225484e-05
"(119.416, 122.267]",3.4672561870056377e-09,3.1997183237490013e-10,2.3256504104302187e-14,7.62281220195704e-17,0.00032000694252349833,2.9531480297209033e-05
"(122.267, 125.3]",2.7620515388011008e-09,2.4181199236213076e-10,2.3898390954417377e-14,2.430836807026525e-17,0.0002549207847221088,2.2317796023070495e-05
"(125.3, 128.45]",4.466199323287396e-09,2.338040739980646e-10,3.7591375885250783e-14,1.2827008030796954e-17,0.00041221233274213345,2.1579180813725366e-05
"(128.45, 131.832]",3.702324403073817e-09,1.8647438836674017e-10,3.536720219485083e-14,1.7041416854897334e-18,0.0003417023284572949,1.721046719991992e-05
"(131.832, 135.631]",7.110813536062412e-09,2.1229811314166553e-10,1.5199172276535752e-13,2.8308739984431657e-18,0.0006562854244973442,1.959384205429688e-05
"(135.631, 139.384]",5.406568969568114e-09,2.1331765599459803e-10,7.392005712273815e-14,6.833539780807036e-18,0.0004989938764773195,1.968793974236543e-05
"(139.384, 143.272]",7.228191010057231e-09,1.267630259519855e-10,1.4688690455652685e-13,9.620075854313133e-19,0.0006671331174642422,1.1699720243264455e-05
"(143.272, 147.061]",4.5250631593124434e-09,1.186948914345035e-10,1.1313468475290341e-13,2.2519667579002733e-18,0.00041763617922558266,1.0954826310056066e-05
"(147.061, 150.293]",3.1146538629033696e-09,1.133083300424482e-10,5.067106115365684e-14,3.638161759365641e-18,0.0002874638636228036,1.0457679012937714e-05
"(150.293, 153.272]",2.99711975486928e-09,9.641297233864476e-11,2.8996988067659996e-14,2.0253446164495978e-18,0.00027661617065590535,8.89833886902288e-06
"(153.272, 156.045]",3.7023244030738166e-09,1.2498739323725904e-10,3.8554671523621536e-14,7.782832207444242e-18,0.0003417023284572948,1.1535586471439585e-05
"(156.045, 158.711]",3.3496494924655474e-09,2.1694652112131804e-10,2.006940134856827e-14,2.4012702722847562e-17,0.00030915924955660014,2.002329611341317e-05
"(158.711, 161.29]",4.0549267271760855e-09,1.49606148932349e-10,4.237689946373286e-14,3.544859557124985e-18,0.0003742454073579896,1.3807749909562218e-05
