distance,model_mean,sampers_mean,model_variance,sampers_variance,model_sum,sampers_sum
"(-0.001, 22.405]",0.0,0.0,0.0,0.0,0.0,0.0
"(22.405, 35.395]",0.0,0.0,0.0,0.0,0.0,0.0
"(35.395, 46.554]",0.0,0.0,0.0,0.0,0.0,0.0
"(46.554, 56.061]",0.0,0.0,0.0,0.0,0.0,0.0
"(56.061, 64.93]",0.0,0.0,0.0,0.0,0.0,0.0
"(64.93, 73.165]",0.0,0.0,0.0,0.0,0.0,0.0
"(73.165, 80.94]",0.0,0.0,0.0,0.0,0.0,0.0
"(80.94, 88.329]",0.0,0.0,0.0,0.0,0.0,0.0
"(88.329, 95.338]",0.0,0.0,0.0,0.0,0.0,0.0
"(95.338, 102.07]",2.2063237618977237e-06,6.192792357374791e-06,3.045902666486806e-10,8.269654227575385e-10,0.01026381814034821,0.028808870046507527
"(102.07, 108.851]",7.046922530450147e-06,1.5561603578024748e-05,1.2471365320097312e-09,1.3481193735109036e-09,0.03276818976659318,0.07236145663781508
"(108.851, 115.402]",8.30231460032625e-06,1.5208645404943376e-05,2.2675356850733998e-09,2.129499096005345e-09,0.03862236752071771,0.07075061842379658
"(115.402, 121.788]",7.095973035302466e-06,1.241070230020472e-05,1.4466208250751537e-09,1.4257004942528305e-09,0.03299627461415647,0.057709765695951945
"(121.788, 128.103]",5.997932004566404e-06,1.1090356787066798e-05,1.4516581845586845e-09,1.0244614205130732e-09,0.027902379685242912,0.05159233977343475
"(128.103, 134.5]",7.207324288865897e-06,1.0818847826977302e-05,1.9576637518223926e-09,9.051205725168816e-10,0.03352847259180415,0.05032928009109841
"(134.5, 140.658]",6.834370342756752e-06,9.393690664845573e-06,4.374607617310286e-09,6.090312018887256e-10,0.031779822093818896,0.043680661591531916
"(140.658, 146.534]",4.412647523795447e-06,7.802111302264943e-06,5.721009362106985e-10,2.903010323006126e-10,0.02052763628069642,0.036295421778136515
"(146.534, 152.416]",5.295177028554536e-06,7.957485654661733e-06,3.2156838030124e-09,6.985824407454085e-10,0.0246331635368357,0.03701822326548638
"(152.416, 158.282]",5.313804692334796e-06,7.254236166114951e-06,7.457923195056789e-09,7.501146011292587e-10,0.024709191819356803,0.03373219817243452
"(158.282, 164.09]",6.243079089221706e-06,6.929871299732195e-06,6.644836701047029e-09,5.727849705756351e-10,0.029042803923059378,0.03223776128635417
"(164.09, 169.751]",3.744188537060518e-06,6.004973123992084e-06,8.177742355053259e-10,4.60799345438567e-10,0.01741047669733141,0.02792312502656319
"(169.751, 175.259]",4.004069049369943e-06,5.533153274959129e-06,7.806038754175175e-10,2.6506391853003207e-10,0.018626929217668974,0.025740229035109866
"(175.259, 180.935]",4.543392635611609e-06,5.4413959313226855e-06,2.1194684230093074e-09,2.9670372965809915e-10,0.021135862540865205,0.02531337387251313
"(180.935, 186.282]",3.220983151969092e-06,4.6677951081933235e-06,5.056102145464117e-10,2.066170912869848e-10,0.014977571656656277,0.021705247253098955
"(186.282, 191.76]",3.709892547783579e-06,4.698636308826721e-06,9.643235892476024e-10,1.9899892805783046e-10,0.01725842013228921,0.021858056108661907
"(191.76, 197.086]",4.447245773277122e-06,4.379361341883729e-06,4.742219905248933e-09,1.4081329463551028e-10,0.020679692845738618,0.020364030239759343
"(197.086, 202.626]",3.579147435967418e-06,3.884303189212279e-06,1.713447182212659e-09,8.731286961850326e-11,0.01665019387212043,0.018069778436215524
"(202.626, 207.999]",3.088853266656813e-06,3.4738272742851703e-06,7.572694349666516e-10,6.944606518036769e-11,0.014369345396487494,0.016160244479974613
"(207.999, 213.47]",2.2726733914908814e-06,2.8383754234949854e-06,2.8701935543749916e-10,5.932119069624618e-11,0.010567931270432599,0.013198445719251682
"(213.47, 218.954]",2.157294344966663e-06,2.9208095624166693e-06,2.662772120656628e-10,7.797658138878499e-11,0.010035733292784916,0.013587606084362346
"(218.954, 224.269]",1.944833538265401e-06,2.533316197512846e-06,2.0625135164362173e-10,2.927224929471574e-11,0.009047365620010645,0.01178498695082976
"(224.269, 229.603]",2.0601212037974903e-06,2.2218014181311977e-06,3.2648411907421635e-10,2.945764911753587e-11,0.00957956359765833,0.01033137659431007
"(229.603, 234.752]",2.8437061820015104e-06,2.303604166436605e-06,8.196216865254183e-10,4.220654495055609e-11,0.013228921158671027,0.010716366582263088
"(234.752, 239.974]",2.943030291139272e-06,2.243812174745296e-06,5.259740272352475e-10,4.728529333987176e-11,0.013685090853797615,0.010433726612565628
"(239.974, 245.254]",3.3830297682431764e-06,2.5567561115213928e-06,1.4737081407898244e-09,1.1969508164250572e-10,0.015737854481867257,0.01189402943079752
"(245.254, 250.51]",1.1930491453224726e-06,2.0927185705827474e-06,9.924377108912968e-11,3.081020300259616e-11,0.005550064624040143,0.00973532679035094
"(250.51, 255.844]",2.2072727183544536e-06,2.1006197887709813e-06,4.4894694783115337e-10,4.638115250014407e-11,0.01026381814034821,0.009767882017785064
"(255.844, 261.162]",3.3176572123350954e-06,1.9176512200563272e-06,1.2280703032830558e-09,2.7685960395894584e-11,0.015433741351782864,0.008920913475702034
"(261.162, 266.661]",3.1392323105485564e-06,1.8402540986598509e-06,1.1439650326803623e-09,2.3068510768795966e-11,0.014597430244050788,0.008557181558768306
"(266.661, 272.129]",1.8304315654262593e-06,1.6727634504054028e-06,1.8804122313505375e-10,1.8335710085135225e-11,0.008515167642362959,0.007781695571285933
"(272.129, 277.715]",1.9121472603113606e-06,1.6336300869643826e-06,2.461473032736189e-10,2.016567845476252e-11,0.008895309054968449,0.007599647164558308
"(277.715, 283.342]",1.6513669966948134e-06,1.527609104357745e-06,5.704533386360692e-10,1.9076886915727317e-11,0.0076788565346308825,0.007103382335263514
"(283.342, 289.14]",2.8763924599555505e-06,1.5660191385584705e-06,1.3513564772153711e-09,2.2974484310044822e-11,0.013380977723713222,0.0072851210325740046
"(289.14, 295.075]",1.585284480770957e-06,1.40622045732103e-06,2.1746333869301186e-10,1.2246342458770165e-11,0.007374743404546492,0.0065417375674574315
"(295.075, 301.331]",1.5696161552742782e-06,1.2264623963961925e-06,1.964705910365635e-10,9.167281121123286e-12,0.007298715122025393,0.005703050143242295
"(301.331, 307.68]",1.6670001756560575e-06,1.2066004466645528e-06,2.2341155856659816e-10,1.0888827349208809e-11,0.00775488481715198,0.005613105277883499
"(307.68, 313.891]",1.831218847819991e-06,1.1702861559200117e-06,5.213364930334438e-10,8.05710686558474e-12,0.008515167642362959,0.005441830625028054
"(313.891, 320.547]",1.4708825079318158e-06,1.1682820665461294e-06,1.6934353562045413e-10,9.755763912622685e-12,0.006842545426898807,0.005434848173572594
"(320.547, 326.988]",2.3207257347368645e-06,1.0605425208526044e-06,1.3244175731429277e-09,5.819467907895605e-12,0.010796016117995895,0.004933643807006316
"(326.988, 333.082]",1.2099124530239228e-06,1.1868473198862659e-06,1.4276353846655095e-10,1.8202795901027314e-11,0.005626092906561241,0.005518840037471136
"(333.082, 339.529]",2.1082649280356025e-06,1.0792834048890114e-06,7.076832146973225e-10,1.2046159741154854e-11,0.009807648445221624,0.005020826399543681
"(339.529, 346.178]",1.7821683429676701e-06,1.082664937134189e-06,3.760426855313954e-10,1.0896541848733824e-11,0.008287082794799666,0.005034391957673979
"(346.178, 352.733]",1.961176677242421e-06,1.1028895390242028e-06,6.697548642067354e-10,1.5774856754920744e-11,0.009123393902531743,0.005130642135540591
"(352.733, 359.7]",9.479020606671702e-07,9.487637302098909e-07,1.2089646691371082e-10,1.0263968625041292e-11,0.004409640386223676,0.0044136488729364124
"(359.7, 366.652]",1.030060601898745e-06,9.72190622665734e-07,1.220296642385489e-10,6.7230594214374655e-12,0.004789781798829164,0.004520686395395664
"(366.652, 373.677]",1.4708825079318158e-06,9.463290641447754e-07,2.1159900568402492e-10,7.779367141941397e-12,0.006842545426898807,0.004402322806401495
"(373.677, 380.777]",1.617970758724997e-06,1.0158893633057807e-06,5.653448377430083e-10,1.1659862416405956e-11,0.007526799969588686,0.004725917318098492
