distance,model_mean,sampers_mean,model_variance,sampers_variance,model_sum,sampers_sum
"(-0.001, 2.115]",8.378615566138915e-06,6.721579867430781e-06,3.547051407029891e-08,4.1217213516199477e-08,0.7360948919475683,0.5905176776732638
"(2.115, 3.2]",4.057970899164847e-07,6.65611523680699e-07,5.32045230798661e-11,2.2535342083558842e-11,0.03565008594334301,0.05847530357839677
"(3.2, 4.113]",2.041634131713351e-07,3.8296045095919904e-07,1.5112526760354627e-11,6.001372395613865e-12,0.017936572500754474,0.033644607458569474
"(4.113, 4.957]",1.5652386832258962e-07,2.680072926039445e-07,1.8886848130473332e-11,4.551676350682788e-12,0.013750934879876144,0.023544976669841733
"(4.957, 5.788]",1.315786152186878e-07,2.453505975187278e-07,1.1303761588297738e-11,2.839577429274795e-11,0.011559707661422598,0.021555031394410312
"(5.788, 6.614]",8.423612760872189e-08,1.952193988554646e-07,2.4503995884298373e-12,2.6089143267629276e-12,0.007400312282681436,0.017150414628250274
"(6.614, 7.456]",8.25913441724567e-08,1.6504723110844888e-07,3.2795629268243233e-12,1.2808148332665537e-12,0.007255979950927011,0.014500059441801667
"(7.456, 8.337]",1.0529515951090236e-07,1.8773770101995095e-07,1.776166059565441e-11,1.1954151795063383e-11,0.009250390353351795,0.01649313251000473
"(8.337, 9.272]",8.124718124740768e-08,1.7789661138965264e-07,4.430115656142172e-12,1.5393811549662804e-11,0.007137889861309754,0.015628928897026544
"(9.272, 10.288]",7.766451481655211e-08,1.6471530448242573e-07,1.0533370252607377e-11,1.5708119316534814e-11,0.006822982955663736,0.014470568929390065
"(10.288, 11.406]",1.0559146533440668e-07,1.5111894796614842e-07,1.6781353215476793e-11,4.088421879655589e-12,0.009276632595488964,0.013276404054618003
"(11.406, 12.65]",6.52680634131409e-08,1.8124987968158377e-07,2.952965350499777e-12,2.8953674101445203e-11,0.005733929906971255,0.015923164429786498
"(12.65, 14.062]",7.422766374992942e-08,2.101082871793838e-07,6.279185814991247e-12,7.15662961034669e-11,0.006521197171086299,0.018458853461857584
"(14.062, 15.693]",7.243709555005339e-08,1.8800051270648828e-07,5.029286833137733e-12,1.4758376882139984e-11,0.006363743718263291,0.01651622104229041
"(15.693, 17.608]",8.333810135303949e-08,1.6022212989047593e-07,1.5196256630428573e-11,4.74884266722672e-12,0.007321585556269931,0.014076154999397872
"(17.608, 19.895]",1.384519331441227e-07,2.0013446977582312e-07,6.787551022103767e-11,2.201677349609846e-11,0.012163279230577468,0.017582213438745612
"(19.895, 22.678]",9.946805645362779e-08,1.5574336363617906e-07,1.3394321168244816e-11,2.533203134272134e-12,0.008738666631677015,0.013682677468892877
"(22.678, 25.793]",6.496935374076955e-08,1.6932430166807277e-07,2.615931520597422e-12,6.690346984133275e-12,0.005707687664834087,0.014875478550143529
"(25.793, 29.162]",5.854576295769082e-08,1.3232865675491082e-07,1.5016070409535203e-12,2.4466296592983557e-12,0.005143479458884969,0.011625601810545935
"(29.162, 32.281]",4.2416773476732304e-08,1.1093819967588296e-07,1.1857942649523358e-12,1.0884424479361143e-11,0.0037263983834778863,0.00974614271792567
"(32.281, 35.044]",4.4059676674774757e-08,7.150670324226052e-08,1.2777592750585444e-12,1.1441076429985978e-12,0.003870730715232312,0.006282006893239071
"(35.044, 37.614]",4.346126790991845e-08,5.737400241059522e-08,3.472624767083668e-12,4.924587772842734e-13,0.0038182462309579754,0.005040535607780432
"(37.614, 40.002]",3.868290257209038e-08,5.079981990103102e-08,2.7088035605509823e-12,9.691771415561444e-13,0.0033983703567632842,0.004462865777945377
"(40.002, 42.213]",2.3746878342532757e-08,4.307356243644427e-08,5.579450449800725e-13,4.617269045333282e-13,0.002086258249904873,0.0037841847542913754
"(42.213, 44.525]",3.315677363322032e-08,4.381574953977113e-08,1.4373389088987872e-12,3.1929257942444573e-13,0.0029128888772256716,0.0038493012285679734
