distance,model_sum,groundtruth_sum
"(-0.001, 3.211]",0.7216629849601184,0.6803013956670303
"(3.211, 5.192]",0.04572811809680021,0.07105887741177956
"(5.192, 6.939]",0.02755327451421315,0.0413787211477169
"(6.939, 8.647]",0.01877008955144909,0.027123952092709007
"(8.647, 10.313]",0.015608672072381908,0.023205780281156774
"(10.313, 11.904]",0.01385379877158869,0.01971271634290541
"(11.904, 13.467]",0.012217974664567872,0.01605882624993737
"(13.467, 15.011]",0.009709123136549426,0.01580060830440691
"(15.011, 16.559]",0.008743501898173257,0.011952174456422934
"(16.559, 18.16]",0.0073105023435054255,0.010246418992412354
"(18.16, 19.809]",0.006036235047200801,0.008724472904093552
"(19.809, 21.501]",0.006164102699771161,0.007734907470111321
"(21.501, 23.229]",0.005582084419106072,0.006757151645459761
"(23.229, 24.979]",0.0046958293099115065,0.00634787738133806
"(24.979, 26.776]",0.003783118824323073,0.004952654685493284
"(26.776, 28.569]",0.0034127435548089256,0.003751915085804064
"(28.569, 30.431]",0.0038272111183128526,0.00516675254086782
"(30.431, 32.517]",0.0036332050247578226,0.003917490565557543
"(32.517, 34.741]",0.0037875280537220516,0.003680997342351165
"(34.741, 37.035]",0.0035362019779803075,0.00366274890669614
"(37.035, 39.4]",0.004515050904553412,0.003426843502855294
"(39.4, 41.811]",0.0030952790380825144,0.003462707027699663
"(41.811, 44.358]",0.0029630021561131755,0.0029023506482748684
"(44.358, 46.832]",0.0023413008108572864,0.0024582748202874416
"(46.832, 49.227]",0.0022531162228777274,0.002200047614380865
"(49.227, 51.555]",0.0020106086059339407,0.0016819183862230636
"(51.555, 53.764]",0.0013844980312790734,0.0013865370606531203
"(53.764, 55.987]",0.0015167749132484116,0.00127437914936514
"(55.987, 58.084]",0.0014329995546678309,0.0010991943131620646
"(58.084, 60.03]",0.0013756795724811175,0.0010607988915049059
"(60.03, 61.847]",0.001186082708325066,0.0008697204267511504
"(61.847, 63.57]",0.0010582150557547055,0.0008489955121367141
"(63.57, 65.258]",0.0009832581559720808,0.0007231918661469536
"(65.258, 66.947]",0.0013095411314964485,0.0006237128197729332
"(66.947, 68.708]",0.0009347566325833233,0.0005362526559303709
"(68.708, 70.5]",0.0007716151448211395,0.00039523203965454926
"(70.5, 72.284]",0.000820116668209897,0.0003386704059846365
"(72.284, 73.955]",0.000736341309629316,0.00026602218059022526
"(73.955, 75.584]",0.0006084736570589559,0.00024270850753749793
"(75.584, 77.263]",0.0005026521514834852,0.00021769814084901488
"(77.263, 78.964]",0.0004585598574937057,0.00020738166331970805
"(78.964, 80.601]",0.0005467444454732644,0.00016986419873400076
"(80.601, 82.152]",0.0005776090512661103,0.00017559740936551676
"(82.152, 83.605]",0.0004276952517008602,0.00014478263577805725
"(83.605, 84.996]",0.0006084736570589557,0.00013169477607371342
"(84.996, 86.337]",0.00040123987530699253,0.00013257984485230792
"(86.337, 87.635]",0.0004938336926855293,0.00012530083398888442
"(87.635, 88.948]",0.0005423352160742867,0.0001291967555734186
"(88.948, 90.32]",0.0004541506280947279,0.00012232306734143682
"(90.32, 91.756]",0.0005114706102814411,0.000138168295457248
"(91.756, 93.329]",0.00041887679290290435,0.00010569899287466523
"(93.329, 95.065]",0.0006128828864579337,9.269661007150061e-05
"(95.065, 96.929]",0.0004100583341049485,7.245156358938404e-05
"(96.929, 98.827]",0.0005246982984783749,5.8879545599822107e-05
"(98.827, 100.812]",0.0005202890690793969,4.5415659513179174e-05
"(100.812, 102.885]",0.0004585598574937058,4.581408255679848e-05
"(102.885, 105.005]",0.0005643813630691763,4.359192264094522e-05
"(105.005, 107.241]",0.00033951066372130134,4.0769714778063115e-05
"(107.241, 109.566]",0.0005687905924681544,4.088236478839303e-05
"(109.566, 111.942]",0.00043651371049881606,4.104531222536658e-05
"(111.942, 114.296]",0.0002777814521356102,3.966532166646974e-05
"(114.296, 116.81]",0.0004144675635039264,3.1723916052477235e-05
"(116.81, 119.416]",0.0006746120980436249,3.0574816260225484e-05
"(119.416, 122.267]",0.000586427510064066,2.9531480297209033e-05
"(122.267, 125.3]",0.0004982429220845073,2.2317796023070495e-05
"(125.3, 128.45]",0.0006084736570589557,2.1579180813725366e-05
"(128.45, 131.832]",0.0003924214165090367,1.721046719991992e-05
"(131.832, 135.631]",0.0004938336926855293,1.959384205429688e-05
"(135.631, 139.384]",0.0004144675635039263,1.968793974236543e-05
"(139.384, 143.272]",0.00040123987530699253,1.1699720243264455e-05
"(143.272, 147.061]",0.0004541506280947279,1.0954826310056066e-05
"(147.061, 150.293]",0.00035273835191823523,1.0457679012937714e-05
"(150.293, 153.272]",0.0004938336926855293,8.89833886902288e-06
"(153.272, 156.045]",0.00039683064590801466,1.1535586471439585e-05
"(156.045, 158.711]",0.000295418369731522,2.002329611341317e-05
"(158.711, 161.29]",0.0004100583341049485,1.3807749909562218e-05
"(161.29, 163.775]",0.00033069220492334554,1.4695174840288996e-05
"(163.775, 166.469]",0.0003791937283121029,8.560931469320156e-06
"(166.469, 169.635]",0.0002865999109335661,6.994296881351058e-06
"(169.635, 173.203]",0.0004585598574937059,7.176893222612806e-06
"(173.203, 177.066]",0.000529107527877353,7.310062350271322e-06
"(177.066, 181.251]",0.0004806060044885955,3.3765751344913797e-06
"(181.251, 185.671]",0.0005070613808824632,1.8270920664273079e-06
"(185.671, 190.323]",0.000978848926573103,1.7365978980658289e-06
"(190.323, 194.902]",0.0007187043920334042,1.8769555807128754e-06
"(194.902, 199.511]",0.0005467444454732646,2.854244944923279e-06
"(199.511, 204.389]",0.00045415062809472777,2.0108081504402814e-06
"(204.389, 209.894]",0.0006834305568415807,1.0333612772480948e-06
"(209.894, 216.791]",0.000445332169296772,9.132375981942816e-07
"(216.791, 224.97]",0.00044092293989779404,8.29303614700202e-07
"(224.97, 234.117]",0.000820116668209897,1.2297948668532422e-06
"(234.117, 243.933]",0.0005246982984783749,7.196205654158957e-07
"(243.933, 254.078]",0.00046296908689268373,3.6195383384076005e-07
"(254.078, 264.795]",0.0007098859332354485,5.994466312027573e-07
"(264.795, 277.455]",0.0005599721336701984,2.7798215897718665e-07
"(277.455, 291.861]",0.0011684457907291542,2.7270592920669834e-07
"(291.861, 312.377]",0.0011684457907291544,1.7846656734834026e-07
"(312.377, 348.792]",0.002059110129322698,7.081628306287054e-08
"(348.792, 444.055]",0.005829001265448837,1.02764174238209e-09
"(444.055, 1442.945]",0.0050000661384409836,3.211192289145839e-13
