country,runid,p,gamma,beta,national,east,west
sweden,20200906_195258,0.3,0.2,0.01,0.025879475579340713,0.10185273726625804,0.09096611784840712
sweden,20200906_200755,0.3,0.5,0.01,0.022790417882025835,0.06833291307833048,0.07033289337348332
sweden,20200906_202219,0.3,0.8,0.01,0.023081954816027137,0.05535981059709337,0.0624428315183545
sweden,20200906_203618,0.6,0.2,0.01,0.03606359327183416,0.16579309564498174,0.13458746676838992
sweden,20200906_205138,0.6,0.5,0.01,0.025522508697108235,0.0994039404116391,0.09214332050578528
sweden,20200906_210632,0.6,0.8,0.01,0.025156478514624825,0.071661292938994,0.07326662758223575
sweden,20200906_212059,0.9,0.2,0.01,0.04068642190641558,0.22610719301595616,0.1819987622381872
sweden,20200906_213517,0.9,0.5,0.01,0.029384915155190497,0.12949692100461097,0.11232789540032843
sweden,20200906_215021,0.9,0.8,0.01,0.027608603875700417,0.08828176950521682,0.08333053432982092
sweden,20200906_220500,0.3,0.2,0.03,0.05488745252619283,0.06966914575012076,0.04884424614840687
sweden,20200906_222007,0.3,0.5,0.03,0.05366179169637531,0.0340854405379872,0.028674642978628005
sweden,20200906_223440,0.3,0.8,0.03,0.04024257283256391,0.01928207797483779,0.020395925409205595
sweden,20200906_224844,0.6,0.2,0.03,0.05810120904137223,0.1382691158424737,0.09929212122970696
sweden,20200906_230348,0.6,0.5,0.03,0.05300943899456082,0.06521871550814062,0.0473034845511613
sweden,20200906_231834,0.6,0.8,0.03,0.059722184740788976,0.03657847151743261,0.0297666711797432
sweden,20200906_233253,0.9,0.2,0.03,0.05782527927379047,0.21373011557728244,0.1557694500511334
sweden,20200906_234702,0.9,0.5,0.03,0.05427262616885107,0.09886184093307143,0.07192262312476559
sweden,20200907_000154,0.9,0.8,0.03,0.0568639416290003,0.05081138087542345,0.03815929388444498
sweden,20200907_001629,0.3,0.2,0.05,0.07117168583005427,0.0665169118676357,0.04962892271839919
sweden,20200907_003127,0.3,0.5,0.05,0.08072783536201207,0.03612039638450569,0.03195315918506764
sweden,20200907_004549,0.3,0.8,0.05,0.07208319543856637,0.023484730678533215,0.026130040938617514
sweden,20200907_005953,0.6,0.2,0.05,0.06859905034305548,0.1406129168043413,0.09859479255805766
sweden,20200907_011508,0.6,0.5,0.05,0.07383155782477875,0.06640773280905794,0.04659166502433541
sweden,20200907_013006,0.6,0.8,0.05,0.08688073212529061,0.03632303699985682,0.031318431138120405
sweden,20200907_014439,0.9,0.2,0.05,0.06016809687135293,0.21105861952389496,0.1566495846485756
sweden,20200907_015904,0.9,0.5,0.05,0.06815079716070206,0.09759532301689727,0.0703575593396399
sweden,20200907_021415,0.9,0.8,0.05,0.07758725463406216,0.051559156374350774,0.03939509173397222
sweden,20200907_022907,0.3,0.2,0.07,0.07892971589312253,0.06981746147845955,0.052520463065908636
sweden,20200907_024419,0.3,0.5,0.07,0.08274229586681774,0.03971367903617862,0.037843906782767195
sweden,20200907_025904,0.3,0.8,0.07,0.10170844428945433,0.029196266944155523,0.03519476237208838
sweden,20200907_031329,0.6,0.2,0.07,0.07124898903699037,0.14092677566971132,0.09588651752885322
sweden,20200907_032906,0.6,0.5,0.07,0.08082749121477589,0.06796086988286607,0.050327481121062945
sweden,20200907_034425,0.6,0.8,0.07,0.08865757224373828,0.04095510967399443,0.03582697308167114
sweden,20200907_035921,0.9,0.2,0.07,0.06511066540788404,0.21142099984093382,0.15412103622916778
sweden,20200907_041402,0.9,0.5,0.07,0.07205792343023541,0.0972470822392654,0.07354408162907894
sweden,20200907_042923,0.9,0.8,0.07,0.08585573473865789,0.05419670513631222,0.040430482700801434
