distance,model_sum,groundtruth_sum
"(-0.001, 2.115]",0.6430237897039446,0.5905176776732638
"(2.115, 3.2]",0.036242622877385784,0.05847530357839677
"(3.2, 4.113]",0.02271463180645715,0.033644607458569474
"(4.113, 4.957]",0.016936119064239294,0.023544976669841733
"(4.957, 5.788]",0.012605967396944256,0.021555031394410312
"(5.788, 6.614]",0.01234839803052757,0.017150414628250274
"(6.614, 7.456]",0.009824964817517703,0.014500059441801667
"(7.456, 8.337]",0.009828697706886057,0.01649313251000473
"(8.337, 9.272]",0.009783903034465767,0.015628928897026544
"(9.272, 10.288]",0.00841393263627846,0.014470568929390065
"(10.288, 11.406]",0.009097051390687933,0.013276404054618003
"(11.406, 12.65]",0.007540436524082736,0.015923164429786498
"(12.65, 14.062]",0.007831601894814643,0.018458853461857584
"(14.062, 15.693]",0.009358353646472979,0.01651622104229041
"(15.693, 17.608]",0.010198253754353483,0.014076154999397872
"(17.608, 19.895]",0.01133305212233425,0.017582213438745612
"(19.895, 22.678]",0.012266274464423698,0.013682677468892877
"(22.678, 25.793]",0.009839896374991133,0.014875478550143529
"(25.793, 29.162]",0.009033592271425852,0.011625601810545935
"(29.162, 32.281]",0.007379922281243351,0.00974614271792567
"(32.281, 35.044]",0.006084609670423197,0.006282006893239071
"(35.044, 37.614]",0.004841557510760053,0.005040535607780432
"(37.614, 40.002]",0.003926999615512395,0.004462865777945377
"(40.002, 42.213]",0.0039381982836174684,0.0037841847542913754
"(42.213, 44.525]",0.0036358342447804877,0.0038493012285679734
"(44.525, 46.962]",0.0031729559631041215,0.0035043205657898507
"(46.962, 49.411]",0.0037403551470945057,0.0030786089092589555
"(49.411, 51.915]",0.0027810025794265535,0.0026421352478772277
"(51.915, 54.193]",0.0023031927402767565,0.0021023688819186512
"(54.193, 56.242]",0.0019523011396511245,0.0018139176762216108
"(56.242, 58.166]",0.0016798002157610054,0.0015402912634231497
"(58.166, 60.05]",0.0020120273695448487,0.0013169196131238537
"(60.05, 61.85]",0.0016947317732344367,0.0011599382532558025
"(61.85, 63.607]",0.001881376241652326,0.0010145732683824065
"(63.607, 65.353]",0.0015454161985001252,0.0008693488672119721
"(65.353, 67.048]",0.0014334295174493914,0.0008274940003533123
"(67.048, 68.668]",0.001478224189869685,0.0007295845548210457
"(68.668, 70.216]",0.0017096633307078677,0.0005399860906329884
"(70.216, 71.784]",0.0013811690662923824,0.0005626687455185369
"(71.784, 73.38]",0.0012019903766112084,0.00044529728342896757
"(73.38, 75.118]",0.0009518867889312364,0.0004651535308934945
"(75.118, 76.989]",0.001172127261664346,0.0004525925129634442
"(76.989, 78.993]",0.0013363743938720886,0.000392583865806894
"(78.993, 81.161]",0.0012841139427150795,0.0002980069718757833
"(81.161, 83.559]",0.001601409539025492,0.00021758696352238414
"(83.559, 86.01]",0.001560347755973556,0.0001876106655809114
"(86.01, 88.485]",0.001347573061977162,0.00014050766014760976
"(88.485, 90.999]",0.0011795930404010619,8.389547810042989e-05
"(90.999, 93.534]",0.0012579837171365752,5.825244540259187e-05
"(93.534, 96.205]",0.0012878468320834376,4.4098517905799305e-05
"(96.205, 99.019]",0.0012542508277682174,3.976462875466546e-05
"(99.019, 102.003]",0.0011497299254541993,3.4575284927854694e-05
"(102.003, 105.095]",0.0009332223420894474,2.7396882431915357e-05
"(105.095, 108.257]",0.001082537916823759,3.1259491603098e-05
"(108.257, 111.141]",0.0009556196782995941,2.438351182825705e-05
"(111.141, 113.928]",0.0011609285935592728,1.4963963616942417e-05
"(113.928, 116.649]",0.0011124010317706213,1.7898349645237646e-05
"(116.649, 119.431]",0.0010116130188249609,9.757962843305003e-06
"(119.431, 122.169]",0.0008884276696691539,1.2941773950446039e-05
"(122.169, 124.783]",0.0009332223420894475,8.401477747274402e-06
"(124.783, 127.235]",0.0010004143507198878,1.1110973987885257e-05
"(127.235, 129.725]",0.0010638734699819703,8.318477598324093e-06
"(129.725, 132.333]",0.0010340103550351078,5.746527000060568e-06
"(132.333, 135.009]",0.000817502771670356,4.7548893911157e-06
"(135.009, 137.69]",0.0010601405806136125,4.924518120155088e-06
"(137.69, 140.64]",0.0008510987759855761,4.5868497756767595e-06
"(140.64, 143.744]",0.001119866810507337,3.7427004140770374e-06
"(143.744, 147.09]",0.0006644543075676867,3.702715117899655e-06
"(147.09, 150.402]",0.0005785978520954575,5.081011494288087e-06
"(150.402, 153.728]",0.0007055160906196223,4.11911980424289e-06
