distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(-0.001, 3.211]",5.531706555033986e-06,5.927265638233507e-07,2.2796112379071216e-06,7.370865429347212e-06,2.1927990656639675e-09,2.259007898559447e-16,2.622549778325614e-10,1.943457156399613e-08
"(3.211, 5.192]",1.3820799965553556e-06,5.532856018996931e-07,1.245657796949555e-06,7.699187099029142e-07,1.1451382427598043e-10,9.021649072086167e-17,6.488092759017951e-11,2.181540532333051e-11
"(5.192, 6.939]",7.707738369856111e-07,5.235325601658782e-07,7.831451175033758e-07,4.4833598227096996e-07,4.270576362397655e-11,6.232139661470662e-17,3.10654144055058e-11,1.6811109713676193e-11
"(6.939, 8.647]",4.833964442735375e-07,4.971497189891412e-07,5.391560313151427e-07,2.93886407488125e-07,1.4749888846664242e-11,5.433544100069225e-17,4.852000286604886e-12,4.2951250827936045e-12
"(8.647, 10.313]",3.7330220683457674e-07,4.7258761456091e-07,4.3120781176505843e-07,2.5142780056727023e-07,1.6963311553871676e-11,4.6386740614569843e-17,4.452728477675779e-12,1.1582596055379163e-11
"(10.313, 11.904]",3.03392480779166e-07,4.500275033360697e-07,3.819352387431906e-07,2.1358610898764178e-07,1.0565660275868255e-11,3.850532146422142e-17,2.627633018673353e-12,1.173758614631261e-11
"(11.904, 13.467]",2.473698138644185e-07,4.29296874694934e-07,3.358316036005842e-07,1.739964271776862e-07,5.8556779250964634e-12,3.3694527304316683e-17,1.2957295760259345e-12,6.686930348638243e-12
"(13.467, 15.011]",2.0343381630018055e-07,4.0977192997904717e-07,2.943179149713268e-07,1.7119865109765435e-07,4.814643264141848e-12,2.985787315033324e-17,1.3159021750802916e-12,6.5413784134823485e-12
"(15.011, 16.559]",1.6480269106933337e-07,3.9122661033184625e-07,2.6087071717470366e-07,1.2950109927430747e-07,3.2145619786105678e-12,2.7521814726853132e-17,1.244689693096456e-12,2.351541257401214e-12
"(16.559, 18.16]",1.428366205879852e-07,3.731328005783013e-07,2.4764801813292137e-07,1.1101693456284513e-07,2.4305989781928703e-12,2.6923590872220197e-17,1.205712449616193e-12,4.567382612172995e-12
"(18.16, 19.809]",1.3153672081202906e-07,3.5541290189734995e-07,2.1958485129540365e-07,9.452914495084786e-08,2.57882221459776e-12,2.565065480031009e-17,8.711855767646737e-13,1.6091048029221236e-12
"(19.809, 21.501]",1.0095332804149617e-07,3.3805824388621826e-07,2.0455720486189363e-07,8.380726233678593e-08,1.5415537799036268e-12,2.4568664424218922e-17,8.510007992103751e-13,2.1987455757773446e-12
"(21.501, 23.229]",9.522647722704028e-08,3.211417851573151e-07,1.920568853591972e-07,7.321333613734111e-08,1.8382203429461822e-12,2.3167224509753478e-17,7.655013728618698e-13,1.8106132646274065e-12
"(23.229, 24.979]",9.003017212414261e-08,3.0481328875490504e-07,1.6412200008518485e-07,6.877738343306384e-08,3.347840729644492e-12,2.129622750251594e-17,1.6845598728273043e-12,3.3608753557607054e-12
"(24.979, 26.776]",6.061419467300421e-08,2.890045037836166e-07,1.4005385568853966e-07,5.3661718914482886e-08,8.349090440487554e-13,2.017815862909888e-17,5.297311377263846e-13,2.268201768954608e-12
"(26.776, 28.569]",6.089551366038099e-08,2.7387968711571777e-07,1.5898381377435588e-07,4.065177677643253e-08,1.3094468393916476e-12,1.8094080680882106e-17,1.6448474982888949e-12,2.697985476260605e-13
"(28.569, 30.431]",5.7077613117410396e-08,2.593607723074679e-07,1.515773311214034e-07,5.5981456442106964e-08,9.80050256921775e-13,1.7471134359867318e-17,4.88401797910943e-13,3.844206297738422e-12
"(30.431, 32.517]",5.8906186535359476e-08,2.4447376282644794e-07,1.3303901460586078e-07,4.244577725049887e-08,9.940181248053375e-13,1.9539964340080958e-17,1.1078768021211612e-12,5.80363983485233e-13
"(32.517, 34.741]",5.617215627118416e-08,2.291028876800724e-07,1.2887826151975444e-07,3.988252299505033e-08,7.594432556303872e-13,1.948321406888896e-17,4.641128651363519e-13,3.1209395146657436e-13
"(34.741, 37.035]",8.575205561645798e-08,2.140974591501804e-07,1.5106132234498843e-07,3.9685666529743426e-08,9.356233567163801e-12,1.8104839478726995e-17,4.397030249831387e-12,3.5767645787114316e-13
"(37.035, 39.4]",7.332378463841948e-08,1.99640919205186e-07,1.4900931046681425e-07,3.712964551168325e-08,2.2658014409854256e-12,1.6792819381481073e-17,1.5733274761504566e-12,1.557450488460959e-13
"(39.4, 41.811]",4.427759919176687e-08,1.8581212221112533e-07,1.2363267587832914e-07,3.751822467007241e-08,5.585948980437012e-13,1.5018739216720976e-17,7.129641547855257e-13,3.3755866508504146e-13
"(41.811, 44.358]",3.3878843765518025e-08,1.7255793062483613e-07,9.661392014478012e-08,3.1446796631144695e-08,6.810738871221207e-13,1.4587994327175123e-17,5.390464526592161e-13,2.529972893268271e-13
"(44.358, 46.832]",3.329539007023865e-08,1.5986908797605633e-07,9.651822967098692e-08,2.663468427978939e-08,3.419419905909611e-13,1.1731957585254073e-17,2.7127804725030035e-13,9.920394938322542e-14
"(46.832, 49.227]",1.9441151449073953e-08,1.487043943172955e-07,8.673949201721302e-08,2.383738503457283e-08,9.764260740275934e-14,9.502766487738664e-18,1.4624325726708665e-13,1.1073561199735688e-13
"(49.227, 51.555]",2.1219489333562888e-08,1.3847743054794085e-07,8.085931028520478e-08,1.8223485667790578e-08,1.8619967580636197e-13,7.790603305989701e-18,2.2874795701746477e-13,5.50362010700713e-14
"(51.555, 53.764]",1.8898607687704445e-08,1.2942447066032234e-07,7.6547762820504e-08,1.5023046575650857e-08,9.671310940214642e-14,6.112970061301155e-18,1.4519082411432832e-13,2.1113471151598358e-14
"(53.764, 55.987]",1.7501680598176144e-08,1.2106443889929044e-07,7.349280951794908e-08,1.3807523071044682e-08,1.7778708295741814e-13,5.4563534062327296e-18,2.089860760385661e-13,1.9754952059062265e-14
"(55.987, 58.084]",1.4367362569599872e-08,1.1344417782054857e-07,7.898054915955577e-08,1.1909704998830526e-08,9.228936770703982e-14,4.239392723959082e-18,2.274913255385556e-13,1.367660150647988e-14
"(58.084, 60.03]",1.3834865914922393e-08,1.0679242206954605e-07,8.822091104384458e-08,1.1493692889081694e-08,1.009595617197562e-13,3.235914014642382e-18,1.9806071122620305e-13,1.721481046705117e-14
"(60.03, 61.847]",1.4628587343592594e-08,1.0091654138467163e-07,9.835572368212258e-08,9.423369089552412e-09,1.239025339810383e-13,2.533447174816807e-18,1.0888108345014008e-12,1.7590697324888437e-14
"(61.847, 63.57]",1.3613829567697779e-08,9.571324360269671e-08,1.0968399501495688e-07,9.198815872502157e-09,5.684193168292022e-14,2.0246810822939786e-18,3.8354078822962015e-13,2.4066404882742124e-14
